,x,y
0,so there is no way for me to plug it in here in the us unless i go by a converter.,0
1,"good case, excellent value.",1
2,great for the jawbone.,1
3,tied to charger for conversations lasting more than 45 minutes.major problems!!,0
4,the mic is great.,1
5,i have to jiggle the plug to get it to line up right to get decent volume.,0
6,"if you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
7,if you are razr owner...you must have this!,1
8,"needless to say, i wasted my money.",0
9,what a waste of money and time!.,0
10,and the sound quality is great.,1
11,he was very impressed when going from the original battery to the extended battery.,1
12,if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0
13,very good quality though,1
14,"the design is very odd, as the ear ""clip"" is not very comfortable at all.",0
15,highly recommend for any one who has a blue tooth phone.,1
16,i advise everyone do not be fooled!,0
17,so far so good!.,1
18,works great!.,1
19,it clicks into place in a way that makes you wonder how long that mechanism would last.,0
20,"i went on motorola's website and followed all directions, but could not get it to pair again.",0
21,i bought this to use with my kindle fire and absolutely loved it!,1
22,the commercials are the most misleading.,0
23,i have yet to run this new battery below two bars and that's three days without charging.,1
24,i bought it for my mother and she had a problem with the battery.,0
25,great pocket pc / phone combination.,1
26,i've owned this phone for 7 months now and can say that it's the best mobile phone i've had.,1
27,i didn't think that the instructions provided were helpful to me.,0
28,people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0
29,doesn't hold charge.,0
30,"this is a simple little phone to use, but the breakage is unacceptible.",0
31,this product is ideal for people like me whose ears are very sensitive.,1
32,it is unusable in a moving car at freeway speed.,0
33,i have two more years left in this contract and i hate this phone.,0
34,car charger as well as ac charger are included to make sure you never run out of juice.highy recommended,1
35,you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0
36,it has kept up very well.,1
37,poor talk time performance.,0
38,the case is great and works fine with the 680.,1
39,worthless product.,0
40,"it has a great camera thats 2mp, and the pics are nice and clear with great picture quality.",1
41,i was not impressed by this product.,0
42,nice headset priced right.,1
43,i only hear garbage for audio.,0
44,excellent bluetooth headset.,1
45,it has all the features i want,1
46,who in their right mind is gonna buy this battery?.,0
47,after arguing with verizon regarding the dropped calls we returned the phones after two days.,0
48,this case seems well made.,1
49,disappointed with battery.,0
50,not loud enough and doesn't turn on like it should.,0
51,good protection and does not make phone too bulky.,1
52,a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget.,1
53,this phone is pretty sturdy and i've never had any large problems with it.,1
54,i love this thing!,1
55,everything about it is fine and reasonable for the price i.e.,1
56,very disappointed.,0
57,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
58,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1
59,the buttons for on and off are bad.,0
60,essentially you can forget microsoft's tech support.,0
61,"i really recommend this faceplates since it looks very nice, elegant and cool.",1
62,these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously.,1
63,buy a different phone - but not this.,0
64,you have to hold the phone at a particular angle for the other party to hear you clearly.,0
65,the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
66,"a week later after i activated it, it suddenly died.",0
67,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes.,1
68,great for ipods too.,1
69,this device is great in several situations:1.),1
70,mic doesn't work.,0
71,"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",0
72,great choice!,1
73,nice docking station for home or work.,1
74,this is a beautiful phone.,1
75,love this product.,1
76,do not buy for d807...wrongly advertised for d807.,0
77,this is a great little item.,1
78,"i love this phone , it is very handy and has a lot of features .",1
79,i purchased this and within 2 days it was no longer working!!!!!!!!!,0
80,i wear it everyday and it holds up very well.,1
81,not a good bargain.,0
82,"well packaged, arrived on time, and works as intended.",1
83,the battery runs down quickly.,0
84,"this item worked great, but it broke after 6 months of use.",0
85,the headsets are easy to use and everyone loves them.,1
86,this phone works great.,1
87,the construction of the headsets is poor.,0
88,product was excellent and works better than the verizon one and boy was it cheaper!,1
89,the phone loads super!,1
90,"for a product that costs as much as this one does, i expect it to work far better and with greater ease than this thing does.",0
91,made very sturdy.,1
92,worked great!.,1
93,the ear buds only play music in one ear.,0
94,dont waste your money...,0
95,will order from them again!,1
96,if you plan to use this in a car forget about it.,0
97,i found this product to be waaay too big.,0
98,best i've found so far .... i've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
99,i'm very disappointed with my decision.,0
100,integrated seamlessly with the motorola razr phone.,1
101,"buyer beware, you could flush money right down the toilet.",0
102,definitely a bargain.,1
103,the price was very good and with the free shipping and all it was a good purchase.,1
104,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
105,"pros:-good camera - very nice pictures , also has cool styles like black and white, and more.",1
106,"that's a huge design flaw (unless i'm not using it correctly, which i don't think is the case).",0
107,"i love my 350 headset.. my jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
108,"the camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
109,i purcashed this for the car charger and it does not work.,0
110,"sound quality on both end is excellent, i use headset to call my wife and ask my wife to use headset to call me !2.",1
111,this phone is slim and light and the display is beautiful.,1
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
113,"great product, fast shipping!.",1
114,absolutely great.,1
115,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad.,1
116,i got this phone around the end of may and i'm completely unhappy with it.,0
117,it is very comfortable on the ear.,1
118,it has been a winner for us.,1
119,)setup couldn't have been simpler.,1
120,i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably.,1
121,could not get strong enough signal.,0
122,iam very pleased with my purchase.,1
123,bad quality.,0
124,gets the job done.,1
125,great audio!.,1
126,basically the service was very bad.,0
127,it did not work in my cell phone plug i am very up set with the charger!.,0
128,"i've only had my bluetooth for a few weeks, but i really like it.",1
129,the bt headset was such a disapoinment.,0
130,it is so small and you don't even realize that it is there after a while of getting used to it.,1
131,the accompanied software is almost brilliant.,1
132,headset works great & was packaged nicely to avoid any damage.,1
133,!i definitly recommend!!,1
